Nombre,Institución,No. Documentos AC,No. Documentos No AC,No. Libro,No. Editor de libro,No. Capítulo de libro,No. Subcapítulo o artículo de libro,No. Árbitro o dictaminador de libro,No. Árbitro o dictaminador de capítulo de libro,No. Coordinador de libro,No. Artículo científico,No. Editor de revista,No. Miembro de comité editorial,No. Editor asignado por número especial,No. Editor asignado por artículo,No. Árbitro de artículos de revista,No. Publicaciones derivadas de eventos colectivos,No. Conferencias/Congresos/Reuniones Cientificas,"No. Organización de eventos académicos, de extensión y difusión",No. Otras participaciones en eventos,No. Evaluador de proyectos,No. Premios,No. Informe interno anual de actividades,No. Sistema Nacional de Investigadores,No. Sistema Sinaloense de Investigadores y Tecnólogos,No. Academia Mexicana de Ciencias,Colaboradores
Mejía Trejo J.,* Pendiente,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Borbón Morales C.G.': 2, 'Aguilar Navarro C.': 1, 'Guimond Ramos J.': 1, 'Martínez Téllez M.A.': 1, 'Rueda Puente E.': 1}"
Borbón Morales C.G.,Desarrollo Regional,10,12,1,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,"{'Mejía Trejo J.': 2, 'Aguilar Navarro C.': 1, 'Ramírez Bustos I.': 1, 'Vargas Arispuro I.C.': 2, 'Aispuro Hernández E.': 2, 'Martínez Téllez M.A.': 3, 'González Pérez C.J.': 1, 'Laborín Álvarez J.F.': 1, 'Vera Noriega J.A.': 1, 'Araiza Sánchez L.': 1, 'Arvizu Armenta M.': 1, 'Rueda Puente E.': 2, 'Guimond Ramos J.': 1}"
Aguilar Navarro C.,Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de Jalisco (CIATEJ,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Mejía Trejo J.': 1, 'Borbón Morales C.G.': 1}"
Salazar Antúnez G.,Desarrollo Regional,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,{'Hernández González G.': 1}
Hernández González G.,Universidad Autonoma de Querétaro,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{'Salazar Antúnez G.': 1}
Vallejo Galland B.,TAOA,9,24,0,0,7,0,0,0,0,13,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,"{'Reyes Díaz R.': 6, 'Beltrán Barrientos L.M.': 9, 'González Córdova A.F.': 23, 'Hernández Mendoza A.': 22, 'López Martínez L.X.': 1, 'Quintana Obregón E.A.': 1, 'Vargas Ortiz M.A.': 5, 'Castro López C.': 3, 'Romero Luna H.': 1, 'García H.S.': 4, 'López Pérez A.': 1, 'Santiago López L.': 7, 'Estrada Montoya M.C.': 3, 'Torres Llanez M.J.': 5, 'Avila Villa L.': 1, 'Barco Mendoza G.': 1, 'Rodríguez Ramírez R.': 1, 'Villanueva Zayas J.': 1, 'Martínez Porchas M.': 2, 'Villa Lerma A.': 1, 'Delgado Domínguez J.': 1, 'Teutle Paredes J.': 1, 'Mazorra Manzano M.A.': 2, 'Ramírez Suárez J.C.': 1, 'Méndez Romero J.': 4, 'Pastor Palacios G.': 1, 'García Romo J.S.': 1, 'Domínguez Pérez L.': 1, 'Sigala Robles R.': 1, 'Mata Haro V.': 1, 'Wall Medrano A.': 1, 'Rendón Rosales M.': 1, 'García Galindo H.S.': 1, 'Beltrán Barrientos L.': 2, 'Cuevas González P.': 1, 'Castro Salomon M.': 3, 'Heredia Castro P.': 1, 'Ayala Zavala J.': 1, 'Castillo-Romero T.': 2, 'Mendez Romero J.': 3, 'Ayala Zavala J.F.': 1, 'Salgado Cervantes M.': 1, 'Márquez Núñez L.': 1, 'Ramos Clamont Montfort G.': 1}"
Heredia . J.B.,Culiacán,13,39,0,0,6,0,0,0,0,21,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,"{'Jimenez Ortega L.': 8, 'Orozco Ochoa A.': 1, 'Valdez Baro O.': 8, 'Bernal Millán M.': 1, 'Rivera Salas M.': 3, 'Cabanillas Bojórquez L.': 4, 'Gutierrez Grijalva E.P.': 13, 'Elizalde Romero C.': 2, 'Grimaldi Olivas J.': 2, 'Morales Merida B.': 2, 'Muy Rangel M.D.': 10, 'San Martín Hernández C.': 4, 'Campos Sauceda J.P.': 3, 'Quintana Obregón E.A.': 4, 'Báez Sañudo M.A.': 1, 'Pérez Rubio V.': 3, 'Valenzuela Lagarda J.L.': 1, 'Carrillo Fasio J.A.': 5, 'Rubio Carrasco W.': 1, 'Sánchez Valdez E.': 1, 'Contreras Martínez R.': 1, 'Picos Salas M.': 1, 'Leyva López N.': 5, 'Bastidas Bastidas P.J.': 5, 'Antunes Ricardo M.': 1, 'Angulo Escalante M.A.': 3, 'Vargas Ortiz M.A.': 1, 'López Romero R.': 1, 'López Romero B.': 1, 'Heredia Bátiz J.': 1, 'Rivera Castro V.': 2, 'Gutiérrez Dorado R.': 2, 'Cruz Mendivil A.': 1, 'Villicaña Torres M.C.': 1, 'Valdez Torres J.B.': 5, 'León Chan R.G.': 1, 'Lightbourn Rojas L.A.': 1, 'Monribot Villanueva J.': 1, 'Guerrero Analco J.': 1, 'Ruiz May E.': 1, 'León Félix J.': 3, 'Contreras Angulo L.A.': 5, 'Cabanillas Ponce De Leon R.': 1, 'Rodriguez Anaya L.Z.': 1, 'Beltrán Ontiveros S.A.': 1, 'Manjarrez Quintero J.': 6, 'García Estrada R.S.': 4, 'Aviles Rivera Y.': 2, 'Hernández Mendoza A.': 1, 'Mata Haro V.': 1, 'Santiago López L.': 1, 'Pacheco Jiménez A.': 2, 'Lizardi Mendoza J.': 2, 'Uranga Soto M.': 1, 'Hernández Gutiérrez A.K:': 1, 'Hinojosa Gómez J.': 1, 'Avilés Gaxiola S.': 1, 'García Aguiar I.': 1, 'Das G.': 2, 'Gonçalves S.': 1, 'Gomes Pereira M.': 1, 'Romano A.': 1, 'Shin H.': 1, 'Patra J.K.': 2, 'Castro Montoya  Y.': 1, 'Jacobo Valenzuela N.': 1, 'Delgado Nieblas C.I.': 1, 'Ruiz Armenta X.': 1, 'Delgado Murillo S.': 1, 'Calderón Castro A.': 1, 'Zazueta Morales J.J.': 1, 'Germán Soto B.': 1, 'Garcia Carrasco M.': 2, 'Tovar Pedraza J.M.': 7, 'Cruz Lachica I.': 1, 'George K.': 1, 'Mota Morales J.': 1, 'Lopez Cardoso F.': 1, 'Ontiveros Apodaca N.': 1, 'Arámburo Gálvez J.': 1, 'Figueroa Salcido O.': 1, 'Gastélum Chavira D.': 2, 'Cárdenas Torres F.I.': 1, 'Picos Corrales L.': 1, 'Licea Claverie A.': 1, 'Moreno Ayala  D.': 1, 'Valdez Lafarga O.': 1, 'Bayardo Rosales H.': 4, 'Contreras Soto M.': 1, 'Vega Baez I.': 1, 'Soto Landeros F.': 1, 'Sañudo Barajas J.A.': 1}"
Quintana Obregón E.A.,TAOV,6,16,0,0,4,0,0,0,0,9,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,"{'Martínez Téllez M.A.': 4, 'Aispuro Hernández E.': 3, 'Vargas Ortiz M.A.': 4, 'López Martínez L.X.': 2, 'González Córdova A.F.': 1, 'Hernández Mendoza A.': 1, 'Vallejo Galland B.': 1, 'Muy Rangel M.D.': 5, 'San Martín Hernández C.': 3, 'Campos Sauceda J.P.': 2, 'Báez Sañudo M.A.': 2, 'Contreras Martínez R.': 2, 'Pérez Rubio V.': 3, 'Valenzuela Lagarda J.L.': 2, 'Rubio Carrasco W.': 2, 'Sánchez Valdez E.': 2, 'Carrillo Fasio J.A.': 1, 'Heredia . J.B.': 4, 'López Romero R.': 1, 'Ramos Enríquez J.R.': 2, 'Sánchez Sánchez M.': 3, 'Hernández Oñate M.A.': 1, 'Roa G.': 1, 'González Renteria M.': 1, 'Ruíz Diaz D.': 1, 'Vargas Arispuro I.C.': 2, 'Pacheco Jiménez A.': 2, 'Lizardi Mendoza J.': 3, 'Gutierrez Grijalva E.P.': 2, 'Garay Dominguez A.': 1, 'Sánchez Mariñez R.': 1, 'Corrales Maldonado C.G.': 1, 'López Bemúdez L.': 1, 'Rosas Burgos E.C.': 1, 'Gálvez Iriqui A.C.': 1, 'Gutiérrez Martínez P.': 1, 'Plascencia Jatomea M.': 1, 'Tovar Pedraza J.M.': 1, 'González Pérez C.J.': 1, 'Castillo-Romero T.': 1, 'Salgado Cervantes M.': 1, 'González Aguilar G.A.': 1}"
Baeza Jimenez R.,Delicias,13,21,0,0,2,0,0,0,0,2,0,0,0,0,4,2,4,1,1,5,0,0,0,0,0,"{'López Martínez L.X.': 2, 'Noriega Rodríguez J.A.': 1, 'García Galindo H.S.': 1, 'Buenrostro Figueroa J.J.': 7, 'Ramirez Esparza U.': 4, 'De La Rosa Esteban A.': 1, 'Martínez Ávila G.': 1, 'ASCACIO VALDES J.A.': 4, 'Ochoa Reyes E.': 4, 'Ordoñez Cano A.': 1, 'Alvarado González S.M.': 1, 'Sepúlveda Torre L.': 1, 'Agustín Chávez M.': 1, 'Sánchez Chávez E.': 1, 'Alemán Mateo H.': 1, 'Esparza Romero J.': 1, 'Calderón de la Barca Cota A.M.': 1, 'Ortega Vélez M.I.': 1, 'García Hernández J.': 1, 'López Álvarez E.E.': 1, 'Hernández González C.': 1, 'Vásquez Lara F.': 1, 'Vázquez Medina J.A.': 1, 'Montalvo Corral M.': 1, 'Chávez Mendoza C.': 1, 'Robles Sardín A.E.': 1, 'Gallegos Aguilar A.C.': 1, 'Portillo Abril G.E.': 1, 'Ponce Martínez J.A.': 1, 'Bolaños Villar A.V.': 1}"
Camarena Gómez B.O.,Desarrollo Regional,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"{'Romero Valenzuela D.': 1, 'Peralta Quiñónez M.': 1, 'García Galaz A.': 1, 'Vidal Martínez A.A.': 1, 'Hernández López J.': 1, 'Coronado Sesma A.': 1, 'Marín Pacheco A.': 1, 'Galindo Murrieta H.': 1, 'Alcaráz López J.R.': 1, 'García Cruz L.E.': 1, 'Albores Cantú S.': 1, 'Araiza Sánchez V.': 1}"
