coordinacion,categoria_producto,pertenece_CIAD,participacion_estudiante
Desarrollo Regional,Libros,Sí,No
Desarrollo Regional,Libros,Sí,No
TAOA,Libros,Sí,No
Culiacán,Libros,Sí,Sí
TAOV,Libros,Sí,No
Delicias,Libros,Sí,No
Desarrollo Regional,Libros,Sí,Sí
TAOA,Libros,Sí,No
TAOA,Libros,Sí,Sí
TAOA,Libros,Sí,Sí
TAOV,Libros,No,Sí
Mazatlán,Libros,Sí,No
Ciencia de los Alimentos,Libros,Sí,No
Ciencia de los Alimentos,Libros,Sí,No
TAOV,Libros,Sí,Sí
TAOV,Libros,Sí,Sí
Mazatlán,Libros,Sí,Sí
Mazatlán,Libros,Sí,No
Delicias,Libros,No,No
Delicias,Libros,No,No
Delicias,Libros,Sí,Sí
Mazatlán,Libros,Sí,No
Desarrollo Regional,Libros,Sí,No
TAOA,Libros,Sí,Sí
Mazatlán,Libros,Sí,No
Culiacán,Libros,Sí,Sí
Delicias,Libros,Sí,Sí
Delicias,Libros,Sí,No
Delicias,Libros,Sí,Sí
TAOV,Libros,Sí,Sí
TAOV,Libros,Sí,Sí
TAOV,Libros,Sí,Sí
TAOV,Libros,Sí,Sí
Desarrollo Regional,Libros,Sí,No
Desarrollo Regional,Libros,Sí,Sí
TAOA,Libros,Sí,No
Desarrollo Regional,Libros,Sí,No
Desarrollo Regional,Libros,Sí,No
Desarrollo Regional,Libros,Sí,No
TAOV,Libros,Sí,Sí
TAOV,Libros,Sí,Sí
Desarrollo Regional,Libros,Sí,No
TAOA,Libros,Sí,Sí
TAOA,Libros,Sí,Sí
TAOA,Libros,Sí,No
TAOA,Libros,No,No
Culiacán,Libros,Sí,Sí
Desarrollo Regional,Libros,Sí,No
Culiacán,Libros,Sí,Sí
Culiacán,Libros,Sí,Sí
Culiacán,Libros,Sí,Sí
TAOV,Libros,No,No
Desarrollo Regional,Libros,No,Sí
Desarrollo Regional,Libros,Sí,Sí
TAOV,Libros,Sí,Sí
TAOV,Libros,Sí,Sí
Cuauhtémoc,Libros,Sí,No
Desarrollo Regional,Libros,Sí,No
TAOV,Libros,Sí,Sí
TAOV,Libros,Sí,No
Desarrollo Regional,Libros,Sí,Sí
Desarrollo Regional,Libros,Sí,No
Desarrollo Regional,Libros,Sí,No
TAOV,Libros,Sí,Sí
TAOV,Libros,No,Sí
TAOV,Libros,No,Sí
Desarrollo Regional,Libros,No,No
Desarrollo Regional,Libros,Sí,No
Desarrollo Regional,Libros,Sí,No
TAOV,Libros,Sí,Sí
Desarrollo Regional,Libros,Sí,No
Desarrollo Regional,Libros,Sí,No
TAOA,Libros,No,No
TAOA,Libros,Sí,No
TAOA,Libros,Sí,Sí
TAOA,Libros,Sí,No
TAOA,Libros,Sí,Sí
TAOA,Libros,Sí,Sí
TAOA,Libros,Sí,No
TAOA,Libros,Sí,No
TAOA,Libros,Sí,Sí
TAOA,Libros,Sí,Sí
TAOA,Libros,Sí,Sí
TAOA,Libros,Sí,Sí
Culiacán,Libros,Sí,No
Culiacán,Libros,Sí,No
Desarrollo Regional,Libros,Sí,Sí
TAOV,Libros,Sí,No
TAOA,Libros,Sí,No
TAOA,Libros,No,No
Investigación,Libros,Sí,No
Desarrollo Regional,Libros,No,No
Desarrollo Regional,Libros,Sí,No
Desarrollo Regional,Libros,Sí,No
Desarrollo Regional,Libros,Sí,No
Desarrollo Regional,Libros,Sí,No
Desarrollo Regional,Editores,Sí,No
TAOA,Editores,Sí,No
Desarrollo Regional,Editores,Sí,No
Desarrollo Regional,Editores,Sí,No
Desarrollo Regional,Editores,Sí,No
Desarrollo Regional,Editores,Sí,No
Desarrollo Regional,Editores,Sí,No
Desarrollo Regional,Editores,Sí,No
Desarrollo Regional,Editores,No,No
Desarrollo Regional,Editores,Sí,No
Ciencia de los Alimentos,Otros,No,Sí
TAOA,Otros,Sí,Sí
TAOA,Otros,No,No
Culiacán,Otros,No,Sí
TAOA,Otros,Sí,Sí
Mazatlán,Otros,Sí,No
Ciencia de los Alimentos,Otros,Sí,Sí
TAOA,Otros,Sí,Sí
TAOA,Otros,Sí,Sí
Culiacán,Otros,No,No
Mazatlán,Otros,No,No
Mazatlán,Otros,Sí,No
TAOA,Otros,No,No
TAOA,Otros,No,Sí
Guaymas,Otros,Sí,Sí
Culiacán,Otros,Sí,Sí
Ciencia de los Alimentos,Otros,Sí,Sí
Mazatlán,Otros,No,No
TAOA,Otros,Sí,Sí
TAOA,Otros,No,No
TAOV,Otros,Sí,Sí
TAOV,Otros,Sí,Sí
TAOA,Otros,No,Sí
Culiacán,Otros,Sí,Sí
Nutrición,Otros,Sí,Sí
Cuauhtémoc,Otros,Sí,No
Nutrición,Otros,Sí,Sí
Desarrollo Regional,Otros,Sí,Sí
Delicias,Otros,Sí,Sí
Delicias,Otros,No,No
Desarrollo Regional,Otros,Sí,Sí
Guaymas,Otros,Sí,No
Mazatlán,Otros,Sí,Sí
Culiacán,Otros,Sí,Sí
Guaymas,Otros,Sí,No
TAOA,Otros,No,No
TAOA,Otros,No,No
TAOA,Otros,Sí,Sí
TAOA,Otros,Sí,No
TAOV,Otros,Sí,No
Cuauhtémoc,Otros,No,No
