,id_producto,*ano_registro,ano_publicacion,registro_extemporaneo,coordinacion,tipo_producto,subtipo_producto,subtipo2,arbitrado?,titulo,titulo2,ambito,revista,issn_printed,issn_online,revista_editorial,indice,factor_impacto,doi,libro,isbn,libro_editorial,cita,*Autor de correspondencia,Autores | *Autor de correspondencia | ªEstudiante,documentos
0,100100017,2024,2024,,Desarrollo Regional,Libro,"editorial reconocida, hasta 3 autores",,1.0,Innovación Social y su retorno en la inversión para el impulso del cambio: cómo potenciar proyectos con cambio social,,Nacional,,,,,,,,,978-607-7900-55-9,,*Mejía Trejo J.; *Borbón Morales C.G.; *Aguilar Navarro C. (2024). Innovación Social y su retorno en la inversión para el impulso del cambio: cómo potenciar proyectos con cambio social.,*Mejía Trejo J.(* Pendiente); *Borbón Morales C.G.(Desarrollo Regional); *Aguilar Navarro C.(Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de Jalisco (CIATEJ)),*Mejía Trejo J.; *Borbón Morales C.G.; *Aguilar Navarro C.,http://200.23.35.7/archivos/productos/mepippa/investigacion/100100017_1.pdf
1,100200014,2025,2024,,Desarrollo Regional,Editor de libro,"institución o asociación académica, pública o privada con arbitraje",,1.0,La Prevención de las violencias de Género. Aproximaciones metodológica para la prevención social,,Nacional,,,,,,,,La prevención de las violencias de género,978-607-7900-64-1,Centro de Investigación en Alimentación y Desarrollo,*Salazar Antúnez G.; *Hernández González G. (Eds.). Gilda Salazar antúnez y Guillermo Hernández González (Eds.). (2024). La Prevención de las violencias de Género. Aproximaciones metodológica para la prevención social. (1 ed.). Centro de Investigación en Alimentación y Desarrollo. Contenido en: CICEP,*Salazar Antúnez G.(Desarrollo Regional); *Hernández González G.(Universidad Autonoma de Querétaro),*Salazar Antúnez G.; *Hernández González G.,http://reportes.ciad.mx/archivos/productos/mepippa/investigacion/100100020_1.pdf
2,100300163,2023,2023,,TAOA,Capítulo de libro,editorial reconocida,,1.0,Artisanal cheese chemistry,,Internacional,,,,,,,,Handbook of cheese chemistry,978-1-83916-309-8,ROYAL SOC CHEMISTRY,*Vallejo Galland B.; Reyes Díaz R.; Beltrán Barrientos L.M.; González Córdova A.F.; Hernández Mendoza A. (2023). Artisanal cheese chemistry.  En Handbook of cheese chemistry. MichaelH.Tunick (Eds.). (pp.223-249). (Primera ed.). ROYAL SOC CHEMISTRY. Contenido en: Master Book List,*Vallejo Galland B.(TAOA),*Vallejo Galland B.; Reyes Díaz R.; Beltrán Barrientos L.M.; González Córdova A.F.; Hernández Mendoza A.,"http://200.23.35.7/archivos/productos/mepippa/investigacion/100100012_1.pdf,http://reportes.ciad.mx/archivos/productos/mepippa/investigacion/100300163_2.pdf"
3,100300184,2024,2024,,Culiacán,Capítulo de libro,editorial reconocida,,1.0,Microorganisms as biofactories of powerful agents against plant diseases,,Internacional,,,,,,,,Developments in Applied Microbiology and Biotechnology Entrepreneurship with Mic...,978-0-443-19049-0,ELSEVIER,Jimenez Ortega L.; Orozco Ochoa A.; Valdez Baro O.; *Heredia . J.B. (2024). Microorganisms as biofactories of powerful agents against plant diseases.  En Developments in Applied Microbiology and Biotechnology Entrepreneurship with Microorganisms. Amritesh C. Shukla (Eds.). (pp.1-16). (1 ed.). ELSEVIER. Contenido en: Master Book List,*Heredia . J.B.(Culiacán),ªJimenez Ortega L.; ªOrozco Ochoa A.; ªValdez Baro O.; *Heredia . J.B.,http://200.23.35.7/archivos/productos/mepippa/investigacion/100300184_1.pdf
4,100300185,2024,2024,,TAOV,Capítulo de libro,editorial reconocida,,1.0,Pectin from byproducts in the food industry: trends and opportunities,,Internacional,,,,,,,,Food Byproducts Management and Their Utilization,978-1-0033-7780-1,CRC PRESS-TAYLOR & FRANCIS GROUP,"*Quintana Obregón E.A.; Martínez Téllez M.A.; Aispuro Hernández E.; Vargas Ortiz M.A. (2024). Pectin from byproducts in the food industry: trends and opportunities.  En Food Byproducts Management and Their Utilization. Ricardo Gómez-García, Ana A. Vilas-Boas, Débora A. Campos, Maria Manuela Pintado, Cristóbal Noé Aguilar (Eds.). (pp.364-384). (1 ed.). CRC PRESS-TAYLOR & FRANCIS GROUP. Contenido en: Master Book List",*Quintana Obregón E.A.(TAOV),*Quintana Obregón E.A.; Martínez Téllez M.A.; Aispuro Hernández E.; Vargas Ortiz M.A.,http://200.23.35.7/archivos/productos/mepippa/investigacion/100300185_1.pdf
5,100300186,2024,2024,,Delicias,Capítulo de libro,editorial reconocida,,1.0,Biotechnological Potential of Nejayote: A Residue of the Tortilla Industry,,Internacional,,,,,,,,Food Byproducts Management and Their Utilization,978-1-0033-7780-1,APPLE ACAD PRESS INC,"López Martínez L.X.; Noriega Rodríguez J.A.; García Galindo H.S.; Buenrostro Figueroa J.J.; *Baeza Jimenez R. (2024). Biotechnological Potential of Nejayote: A Residue of the Tortilla Industry.  En Food Byproducts Management and Their Utilization. Ricardo Gomez García, Ana Vilas Boas, Débora Campos, María Manuela Pintado, Cristóbal Noe Aguilar (Eds.). (pp.33-51). (1 ed.). APPLE ACAD PRESS INC. Contenido en: Master Book List",*Baeza Jimenez R.(Delicias),López Martínez L.X.; Noriega Rodríguez J.A.; García Galindo H.S.; Buenrostro Figueroa J.J.; *Baeza Jimenez R.,http://200.23.35.7/archivos/productos/mepippa/investigacion/100300186_1.pdf
6,100300188,2024,2024,,Desarrollo Regional,Capítulo de libro,"institución o asociación académica, pública o privada con arbitraje",,1.0,El contexto social y la ecociudadanía como factores condicionantes de las prácticas de consumo sustentable: validación de guion de entrevista,,Nacional,,,,,,,,PRÁCTICAS DE MARKETING Y ESTUDIOS EN LOS MERCADOS DE CONSUMO,978-607-518-531-6,UNIVERSIDAD DE SONORA,Romero Valenzuela D.; *Camarena Gómez B.O. (2024). El contexto social y la ecociudadanía como factores condicionantes de las prácticas de consumo sustentable: validación de guion de entrevista.  En PRÁCTICAS DE MARKETING Y ESTUDIOS EN LOS MERCADOS DE CONSUMO. Ana Cristina Pacheco Navarro y Lourdes Patricia León López (Coord.). (pp.184). (1 ed.). UNIVERSIDAD DE SONORA,*Camarena Gómez B.O.(Desarrollo Regional),ªRomero Valenzuela D.; *Camarena Gómez B.O.,"http://200.23.35.7/archivos/productos/mepippa/investigacion/100300188_1.pdf,http://200.23.35.7/archivos/productos/mepippa/investigacion/100300188_2.pdf,http://200.23.35.7/archivos/productos/mepippa/investigacion/100300188_3.pdf"
7,100300189,2024,2024,,TAOA,Capítulo de libro,editorial reconocida,,1.0,Use of Peel and Seed of Tropical Fruits Processed Through Flash Vacuum Expansion,,Internacional,,,,,,,,Food Byproducts Management and Their Utilization,978-1-0033-7780-1,CRC PRESS-TAYLOR & FRANCIS GROUP,"López Martínez L.X.; Quintana Obregón E.A.; González Córdova A.F.; Hernández Mendoza A.; Vallejo Galland B.; *Vargas Ortiz M.A. (2024). Use of Peel and Seed of Tropical Fruits Processed Through Flash Vacuum Expansion.  En Food Byproducts Management and Their Utilization. Ricardo Gómez-García, Ana A. Vilas-Boas, Débora A. Campos, Maria Manuela Pintado, Cristóbal Noé Aguilar (Eds.). (pp.225). (1 ed.). CRC PRESS-TAYLOR & FRANCIS GROUP. Contenido en: Master Book List",*Vargas Ortiz M.A.(TAOA),López Martínez L.X.; Quintana Obregón E.A.; González Córdova A.F.; Hernández Mendoza A.; Vallejo Galland B.; *Vargas Ortiz M.A.,http://200.23.35.7/archivos/productos/mepippa/investigacion/100300189_1.pdf
8,100300190,2024,2024,,TAOA,Capítulo de libro,editorial reconocida,,1.0,Postbiotics: perspectives on innovative applications,,Internacional,,,,,,,,Strategies to Improve the Quality of Foods,978-0-443-15346-4,ELSEVIER ACADEMIC PRESS INC,Castro López C.; Romero Luna H.; García H.S.; Vallejo Galland B.; González Córdova A.F.; *Hernández Mendoza A. (2024). Postbiotics: perspectives on innovative applications.  En Strategies to Improve the Quality of Foods. Jose Manuel Lorenzo (Eds.). (pp.235-258). (1 ed.). ELSEVIER ACADEMIC PRESS INC. Contenido en: Master Book List,*Hernández Mendoza A.(TAOA),ªCastro López C.; Romero Luna H.; García H.S.; Vallejo Galland B.; González Córdova A.F.; *Hernández Mendoza A.,http://200.23.35.7/archivos/productos/mepippa/investigacion/100300190_1.pdf
9,100300191,2024,2024,,TAOA,Capítulo de libro,editorial reconocida,,1.0,Freezing of baked goods and prepared foods,,Internacional,,,,,,,,Low-Temperature Processing of Food Products,978-0-12-818733-3,ELSEVIER,"Armenta Aispuro P.; Rouzaud Sández O.; *López Franco Y.L.; Lizardi Mendoza J.; Cárdenas-López J.; Rosell C. (2024). Freezing of baked goods and prepared foods.  En Low-Temperature Processing of Food Products. Seid Mahdi Jafari, Hadis Rostamabadi (Eds.). (pp.259-288). (1 ed.). ELSEVIER. Contenido en: Master Book List",*López Franco Y.L.(TAOA),ªArmenta Aispuro P.; Rouzaud Sández O.; *López Franco Y.L.; Lizardi Mendoza J.; Cárdenas-López J.; Rosell C.,http://200.23.35.7/archivos/productos/mepippa/investigacion/100300191_1.pdf
10,100300193,2024,2024,,TAOV,Capítulo de libro,editorial reconocida,,1.0,Cold Plasma Technology for Fruit and Vegetable Quality Preservation during Postharvest Storage,,Internacional,,,,,,,,Sustainable Postharvest Technologies for Fruits and Vegetables,978-1-032-42601-3,CRC PRESS-TAYLOR & FRANCIS GROUP,"Lagarda-Clark E.; Tiznado Hernández M.E.; *Duarte-Sierra A. (2024). Cold Plasma Technology for Fruit and Vegetable Quality Preservation during Postharvest Storage.  En Sustainable Postharvest Technologies for Fruits and Vegetables. Sajid Ali, Shabir Ahmad Mir, Basharat Nabi Dar, Shaghef Ejaz (Eds.). (pp.119-136). (1 ed.). CRC PRESS-TAYLOR & FRANCIS GROUP. Contenido en: Master Book List",*Duarte-Sierra A.(* Pendiente),ªLagarda-Clark E.; Tiznado Hernández M.E.; *Duarte-Sierra A.,"http://200.23.35.7/archivos/productos/mepippa/investigacion/100300193_1.pdf,http://reportes.ciad.mx/archivos/productos/mepippa/investigacion/100300193_2.pdf"
11,100300198,2024,2024,,Mazatlán,Capítulo de libro,"institución o asociación académica, pública o privada con arbitraje",,1.0,Peces de producción,,Nacional,,,,,,,,Etología aplicada: fundamentos científicos del comportamiento y bienestar animal,978-607-30-8698-1,Universidad Nacional Autónoma de México,"Puello Cruz A.C.; *Almazán Rueda P. (2024). Peces de producción.  En Etología aplicada: fundamentos científicos del comportamiento y bienestar animal. Francisco Galindo Maldonado, Agustín Orihuela Trujillo, Rodolfo Ungerfeld Morón (Coord.). (pp.241-247). (1 ed.). Universidad Nacional Autónoma de México",*Almazán Rueda P.(Mazatlán),Puello Cruz A.C.; *Almazán Rueda P.,"http://200.23.35.7/archivos/productos/mepippa/investigacion/100300198_1.pdf,http://reportes.ciad.mx/archivos/productos/mepippa/investigacion/100300198_2.pdf"
